wave	var	page	description	labels	depends_on	section	source
Interview 1 (prenatal, ~12 wk gestation)	A011	8	How old were you when you had your first menstrual period? (If you do not remember the age, please just state if it was early, late or neither early nor late)	1. age | 2. 3rd grade | 3. 4th grade | 4. 5th grade | 5. 6th grade | 6. 7th grade | 7. 8th grade | 8. 9th grade | 9. 10th grade | 10. early | 11. late | 12. neither early nor late | 13. do not know | 14. do not want to answer | 99. undefined | 100.irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A011A	8	Age, first menstrual period		Depends on: A011		extracted
Interview 1 (prenatal, ~12 wk gestation)	A012	8	Are your periods regular, i.e. can you predict, within a week, when you will have your next period.	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A013	8	How many days pass from 1st day in one period to 1st day in the next period?	1. days | 2. do not know | 3. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A012		extracted
Interview 1 (prenatal, ~12 wk gestation)	A013A	8	Number of days		Depends on: A013		extracted
Interview 1 (prenatal, ~12 wk gestation)	A014	8	Try to remember the last period before this pregnancy, did it come at the expected time?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A012		extracted
Interview 1 (prenatal, ~12 wk gestation)	A015	9	Was it of the usual strength and duration?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. undefined | 10. irrelevant	Depends on: A012		extracted
Interview 1 (prenatal, ~12 wk gestation)	A016	9	What is the expected date of birth?	1. Date | 2. do not know | 3. do not want to answer | 9. undefined | 10. irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A016A	9	Date (day month year, undefined = 99999999 and irrelevant = 100000000)		Depends on: A016		extracted
Interview 1 (prenatal, ~12 wk gestation)	A016X	9	string variable: 40-(rund ned ((A016A-interviewdato)/7))				extracted
Interview 1 (prenatal, ~12 wk gestation)	A016B	9	So, according to my calculations, today, you are in the xx week of gestation. (This does not include the jun97-version)	1. woman agrees | 2. woman does not agree :believes herself that she is in week | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant | 11. Not asked			extracted
Interview 1 (prenatal, ~12 wk gestation)	A016C	9	Gestation week due to the woman (undefined = 99, irrelevant = 100, not in this version = 101) (not a part of the jun97-version)				extracted
Interview 1 (prenatal, ~12 wk gestation)	A017	9	Where do you plan to give birth?	1. do not know | 2. do not want to answer | 3. at home | 4. other | 5. Esbjerg | 6. Farsø | 7. Fredericia | 8. Frederiksberg | 9. Frederikshavn | 10. Fåborg | 11. Gentofte | 12. Glostrup | 13. Grenå | 14. Grindsted | 15. Haderslev | 16. Helsingør | 17. Herlev | 18. Herning | 19. Hillerød | 20. Hjørring | 21. Hobro | 22. Holstebro | 23. Horsens | 24. Hvidovre | 25. Kalundborg | 26. Kolding | 27. Køge | 28. Lemvig | 29. Læsø | 30. Nyborg | 31. Nykøbing F | 32. Næstved | 33. Odder | 34. Odense | 35. Randers | 36. Rigshospitalet | 37. Ringkøbing | 38. Ringsted | 39. Roskilde | 40. Rønne | 41. Samsø | 42. Silkebord | 43. Skejby | 44. Skive | 45. Slagelse | 46. Svendborg | 47. Sønderborg | 48. Tarm | 49. Thisted | 50. Tønder | 51. Vejle | 52. Viborg | 53. Ærø | 54. Ålborg | 55. Århus | 99. Undefined | 100 irrelevant.			extracted
Interview 1 (prenatal, ~12 wk gestation)	A017A	10	Other text		Depends on: A017		extracted
Interview 1 (prenatal, ~12 wk gestation)	A018	11	Is this pregnancy planned, partly planned or not planned at all?	1. planned | 2. partly planned | 3. not planned | 4. do not know | 5. do not want to answer | 9. Undefined | 10. Irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A019	11	For how long did you try to get pregnant before you succeeded?	1. did not try to get pregnant | 2. got pregnant immediately | 3. 1-2 months | 4. 3-5 months | 5. 6-12 months | 6. For more than 12 months | 7. Do not know | 8. Do not want to answer | 9. Undefined | 10 Irrelevant | CAVE: Please note that inI version sep97 and og dec 97 the jumps from a019 are not consistent. | See data!	Depends on: A018		extracted
Interview 1 (prenatal, ~12 wk gestation)	A020	11	Did you get pregnant in spite of using contraceptives?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. Undefined | 10.Irrelevant	Depends on: A019		extracted
Interview 1 (prenatal, ~12 wk gestation)	A021	11	What kind of contraceptives?		Depends on: A019 A020		extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_1	11	condom				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_2	11	diaphragm				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_3	11	IUD				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_4	11	Contraceptive pills, regular				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_5	11	contraceptive pills, mini				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_6	11	contraceptive foam,suppository, cream				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_7	11	"safe periods"				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_8	11	other				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_9	11	do not know A021_10. do not want to answer				extracted
Interview 1 (prenatal, ~12 wk gestation)	A021_10	11	do not want to answer				expanded
Interview 1 (prenatal, ~12 wk gestation)	A021A	11	other, text		Depends on: A021		extracted
Interview 1 (prenatal, ~12 wk gestation)	A022	11	Do you still have your IUD?	1. yes, | 2. no, it was removed in week | 3. no, went by itself | 4. do not know | 5. do not want to answer | 9. Undefined | 10.Irrelevant	Depends on: A019 A020 A021		extracted
Interview 1 (prenatal, ~12 wk gestation)	A022A	12	week when IUD was removed (undefined = 99, irrelevant = 100)		Depends on: A022		extracted
Interview 1 (prenatal, ~12 wk gestation)	A023	12	How far into pregnancy did you stop taking contraceptive pills, mini or regular?	1. Weeks | 2. do not know | 3. do not want to answer | 9. Undefined | 10. Irrelevant	Depends on: A019 A020 A021 A022		extracted
Interview 1 (prenatal, ~12 wk gestation)	A023A	12	Gestation week for stop of contraceptive pills (Undefined = 99, Irrelevant = 100)		Depends on: A023		extracted
Interview 1 (prenatal, ~12 wk gestation)	A024	12	Did you get any infertility treatment prior to this pregnancy?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. Undefined | 10.Irrelevant	Depends on: A019 A020 A021 A022 A023		extracted
Interview 1 (prenatal, ~12 wk gestation)	A025	12	How long time did it take to become pregnant after the start of infertility treatment?	1. Months | 2. Years | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant	Depends on: A019 A020 A021 A022 A023 A024		extracted
Interview 1 (prenatal, ~12 wk gestation)	A025A	12	number of months (undefined = 99, irrelevant =100)		Depends on: A025		extracted
Interview 1 (prenatal, ~12 wk gestation)	A025B	12	number of years (undefined =99, irrelevant = 100)		Depends on: A025		extracted
Interview 1 (prenatal, ~12 wk gestation)	A026	12	Prior to this pregnancy, what kind of infertility treatment did you get? A026_1. mikro insemination (sperm in egg, test tube method) A026_2. test tube method A026_3. insemination A026_4. operation A026_5. HSG, rinsing of fallopian tubes A026_6. hormonal treatment A026_7. Other A026_8. do not know A026_9. do not want to answer		Depends on: A019 A020 A021 A022 A023 A024		extracted
Interview 1 (prenatal, ~12 wk gestation)	A026_1	12	Prior to this pregnancy, what kind of infertility treatment did you get? - mikro insemination (sperm in egg, test tube method)		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_2	12	Prior to this pregnancy, what kind of infertility treatment did you get? - test tube method		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_3	12	Prior to this pregnancy, what kind of infertility treatment did you get? - insemination		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_4	12	Prior to this pregnancy, what kind of infertility treatment did you get? - operation		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_5	12	Prior to this pregnancy, what kind of infertility treatment did you get? - HSG, rinsing of fallopian tubes		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_6	12	Prior to this pregnancy, what kind of infertility treatment did you get? - hormonal treatment		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_7	12	Prior to this pregnancy, what kind of infertility treatment did you get? - Other		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_8	12	Prior to this pregnancy, what kind of infertility treatment did you get? - do not know		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026_9	12	Prior to this pregnancy, what kind of infertility treatment did you get? - do not want to answer		Depends on: A019 A020 A021 A022 A023 A024		expanded
Interview 1 (prenatal, ~12 wk gestation)	A026A	13	other treatment, text		Depends on: A026		extracted
Interview 1 (prenatal, ~12 wk gestation)	A027	13	Was it donor sperm or sperm from your partner? Or you prefer not to respond?	1. donor sperm | 2. partner's sperm | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant	Depends on: A019 A020 A021 A022 A023 A024 A026		extracted
Interview 1 (prenatal, ~12 wk gestation)	A028	13	Was it your own eggs or donor eggs? Or you prefer to not answer this question?	1. donor egg | 2. own egg | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant	Depends on: A019 A020 A021 A022 A023 A024 A026		extracted
Interview 1 (prenatal, ~12 wk gestation)	A029	13	How far into the pregnancy did you discover that you were pregnant?	1. Weeks | 2. do not know | 3. do not want to answer | 9. Undefined | 10. Irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A029A	13	number of weeks (undefined =99, irrelevant =100)		Depends on: A029		extracted
Interview 1 (prenatal, ~12 wk gestation)	A030	13	Have you had any vaginal bleeding during pregnancy?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A031	13	In which gestation week(s) did you bleed from vagina? A031_1-A031_40 (please, see master list)		Depends on: A030		extracted
Interview 1 (prenatal, ~12 wk gestation)	A031_1	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 1	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_2	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 2	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_3	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 3	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_4	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 4	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_5	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 5	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_6	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 6	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_7	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 7	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_8	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 8	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_9	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 9	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_10	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 10	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_11	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 11	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_12	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 12	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_13	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 13	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_14	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 14	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_15	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 15	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_16	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 16	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_17	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 17	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_18	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 18	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_19	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 19	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_20	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 20	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_21	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 21	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_22	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 22	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_23	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 23	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_24	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 24	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_25	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 25	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_26	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 26	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_27	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 27	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_28	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 28	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_29	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 29	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_30	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 30	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_31	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 31	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_32	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 32	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_33	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 33	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_34	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 34	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_35	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 35	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_36	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 36	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_37	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 37	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_38	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - week 38	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_39	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - do not know	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A031_40	13	In which gestation week(s) did you bleed from vagina?  (please, see master list) - do not want to answer	0. no | 1. yes	Depends on: A030		expanded
Interview 1 (prenatal, ~12 wk gestation)	A032	13	For how many days in total did you bleed from vagina?	1. Days | 2. 1 day | 3. 2-4 days | 4. 5-7 days | 5. for more than one week | 6. do not know | 7. do not want to answer | 9. Undefined | 10. Irrelevant	Depends on: A030		extracted
Interview 1 (prenatal, ~12 wk gestation)	A032A	14	number of days		Depends on: A032		extracted
Interview 1 (prenatal, ~12 wk gestation)	A033	14	How much did you bleed when the bleeding was at its maximum? Was it a spot bleeding or more than that?	1. spots | 2. more than sports | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant	Depends on: A030		extracted
Interview 1 (prenatal, ~12 wk gestation)	A034	14	Did you suffer from vaginal infections during the pregnancy?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A035	14	Did you get any treatment against vaginal infections?	1. yes | 2. no | 3. do not know | 4. do not want to answer | 9. Undefined | 10. Irrelevant			extracted
Interview 1 (prenatal, ~12 wk gestation)	A036	14	A text, other kind of treatment against fungal infection in vagina	What kind of treatment?	Depends on: A034 A035 A036_3		extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_1	14	suppository				extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_2	14	medicine				extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_3	14	cream				extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_4	14	yoghurt				extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_5	14	other				extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_6	14	do not know				extracted
Interview 1 (prenatal, ~12 wk gestation)	A036_7	14	do not want to answer				extracted
Interview 1 (prenatal, ~12 wk gestation)	A037	14	In which week of gestation did you have the disease? A037_1-A037_40 (see master list)		Depends on: A034		extracted
Interview 1 (prenatal, ~12 wk gestation)	A037_1	14	In which week of gestation did you have the disease?  (see master list) - week 1	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_2	14	In which week of gestation did you have the disease?  (see master list) - week 2	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_3	14	In which week of gestation did you have the disease?  (see master list) - week 3	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_4	14	In which week of gestation did you have the disease?  (see master list) - week 4	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_5	14	In which week of gestation did you have the disease?  (see master list) - week 5	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_6	14	In which week of gestation did you have the disease?  (see master list) - week 6	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_7	14	In which week of gestation did you have the disease?  (see master list) - week 7	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_8	14	In which week of gestation did you have the disease?  (see master list) - week 8	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_9	14	In which week of gestation did you have the disease?  (see master list) - week 9	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_10	14	In which week of gestation did you have the disease?  (see master list) - week 10	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_11	14	In which week of gestation did you have the disease?  (see master list) - week 11	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_12	14	In which week of gestation did you have the disease?  (see master list) - week 12	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_13	14	In which week of gestation did you have the disease?  (see master list) - week 13	0. no | 1. yes	Depends on: A034		expanded
Interview 1 (prenatal, ~12 wk gestation)	A037_14	14	In which week of gestation did you have the disease?  (see master list) - week 14	0. no | 1. yes	Depends on: A034		expanded
